Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,603.5800,606.0600,549.0100,557.8800,557.8800,943190
2022-03-02,567.3400,599.5650,565.8800,594.5100,594.5100,610490
2022-03-03,597.6400,601.9200,580.0100,584.2300,584.2300,358850
2022-03-04,566.9000,574.0275,532.9300,543.1200,543.1200,677700
2022-03-07,542.5500,548.9500,492.8200,494.3500,494.3500,993520
2022-03-08,497.7900,537.8300,495.0000,516.9900,516.9900,841700
2022-03-09,534.2300,549.8200,530.9800,538.9400,538.9400,437380
2022-03-10,534.4900,547.1600,527.2700,539.5100,539.5100,555920
2022-03-11,549.0200,553.1851,529.7200,530.5900,530.5900,613050
2022-03-14,540.8500,542.7100,510.2650,512.1200,512.1200,504770
2022-03-15,515.8900,528.6300,512.1675,526.6600,526.6600,590500
2022-03-16,540.8100,563.2400,534.6900,556.8000,556.8000,659220
2022-03-17,548.0100,566.7100,542.2300,564.7300,564.7300,502860
2022-03-18,564.6200,573.4200,553.0000,570.4400,570.4400,513380
2022-03-21,575.0000,581.6750,556.2845,565.5100,565.5100,491580
2022-03-22,574.1000,595.4700,574.1000,587.8600,587.8600,369080
2022-03-23,579.6900,583.7200,568.3000,569.2400,569.2400,342950
2022-03-24,577.9900,584.2574,568.5600,576.9100,576.9100,369850
2022-03-25,577.7800,590.5700,577.7800,586.4000,586.4000,336410
2022-03-28,583.3000,585.8800,558.4650,576.1500,576.1500,303670
2022-03-29,587.1500,597.1600,578.0300,592.5600,592.5600,324380
2022-03-30,592.3700,592.6175,562.8750,567.0400,567.0400,413510
2022-03-31,566.2200,571.2300,558.6850,559.4500,559.4500,535340
2022-04-01,562.0400,568.6600,537.9850,547.7500,547.7500,467040
2022-04-04,549.1700,553.5300,533.8400,546.9000,546.9000,566400
2022-04-05,545.2300,550.8900,528.2600,529.7600,529.7600,698750
2022-04-06,519.8900,525.2000,508.2300,510.5700,510.5700,929410
2022-04-07,510.5700,515.8600,486.7400,500.2800,500.2800,724930
2022-04-08,500.4700,511.9000,492.8850,500.3700,500.3700,597070
2022-04-11,498.2100,518.6850,490.8828,516.0300,516.0300,680840
2022-04-12,517.4300,529.4700,504.0800,506.8400,506.8400,433290
2022-04-13,500.4500,521.1400,498.5000,520.6700,520.6700,485730
2022-04-14,516.4500,522.3900,506.0000,507.0600,507.0600,713150
2022-04-18,507.0900,507.2300,493.7800,503.7000,503.7000,331970
2022-04-19,510.0000,540.5600,507.7050,537.0800,537.0800,557080
2022-04-20,534.8000,536.7600,516.0900,518.0700,518.0700,629020
2022-04-21,532.3000,532.9300,496.0600,503.1300,503.1300,498410
2022-04-22,573.9500,578.6300,540.9700,541.0400,541.0400,1150000
2022-04-25,534.2300,544.7300,520.1450,543.3100,543.3100,723190
2022-04-26,532.8400,539.3800,514.1300,514.5100,514.5100,469790
2022-04-27,517.4300,521.3500,504.9800,508.0800,508.0800,437760
2022-04-28,515.3900,517.7400,499.4400,515.3200,515.3200,415820
2022-04-29,512.6800,519.9700,486.1900,487.6400,487.6400,533260
2022-05-02,491.3900,500.5650,479.1000,497.6700,497.6700,544540
2022-05-03,505.5600,519.4000,498.1000,512.6200,512.6200,451570
2022-05-04,516.4300,540.0550,505.5500,537.5100,537.5100,534880
2022-05-05,524.7900,527.0200,500.6701,513.3700,513.3700,558000
2022-05-06,511.4400,511.4400,466.5600,493.7400,493.7400,789420
2022-05-09,485.2700,489.7100,465.2736,469.8100,469.8100,962000
2022-05-10,474.6700,480.7000,448.7400,459.9800,459.9800,794770
2022-05-11,459.0500,471.8500,439.7200,441.3600,441.3600,634570
2022-05-12,436.3000,448.7100,422.7400,435.5700,435.5700,763510
2022-05-13,448.3750,461.6400,441.9300,449.2800,449.2800,467230
2022-05-16,444.2900,446.5200,430.3800,432.1500,432.1500,515360
2022-05-17,441.0000,451.7600,434.4400,447.9900,447.9900,579040
2022-05-18,439.8400,448.5800,430.1300,431.2500,431.2500,711410
2022-05-19,427.0900,445.0300,425.1500,435.5000,435.5000,621190
2022-05-20,442.6500,444.5900,419.6000,434.7000,434.7000,574280
2022-05-23,442.7100,451.4400,431.6900,448.0000,448.0000,459820
2022-05-24,441.0600,447.0650,420.1500,427.9800,427.9800,848120
2022-05-25,429.1400,457.7950,427.9300,452.7200,452.7200,606700
2022-05-26,455.2400,475.3100,455.0900,473.1100,473.1100,489100
2022-05-27,473.1100,492.4600,473.1100,492.0200,492.0200,671910
2022-05-31,483.8300,494.8800,478.2850,488.5700,488.5700,1180000
2022-06-01,492.4700,496.6800,465.8400,474.7200,474.7200,455060
2022-06-02,478.0000,492.1500,472.5100,491.9900,491.9900,375330
2022-06-03,481.9700,484.9300,474.5600,480.2800,480.2800,367450
2022-06-06,492.6100,496.8300,481.0700,483.2600,483.2600,291070
2022-06-07,475.6000,492.4800,472.9302,491.9600,491.9600,357340
2022-06-08,486.7500,491.5100,478.3000,485.8600,485.8600,529120
2022-06-09,486.3600,486.5900,469.6400,470.6700,470.6700,592060
2022-06-10,454.9000,462.8900,440.7200,442.8800,442.8800,827730
2022-06-13,419.5200,424.3700,399.6100,402.1400,402.1400,1260000
2022-06-14,408.4500,409.9410,400.0400,406.3900,406.3900,495650
2022-06-15,410.6000,430.5500,406.2800,419.0400,419.0400,699370
2022-06-16,406.6900,406.6900,384.8300,389.1300,389.1300,746580
2022-06-17,398.1000,405.3300,387.9900,399.7600,399.7600,768820
2022-06-21,412.3900,416.4900,401.8100,402.8200,402.8200,460970
2022-06-22,398.7700,405.0000,393.2600,400.1500,400.1500,659410
2022-06-23,399.9500,404.4660,388.4650,401.0800,401.0800,575070
2022-06-24,406.6400,419.3400,405.0100,415.5200,415.5200,1170000
2022-06-27,420.7100,424.7600,410.2500,412.2800,412.2800,375680
2022-06-28,416.1600,425.0000,404.3400,404.6500,404.6500,317630
2022-06-29,400.9600,404.4500,393.1600,402.5600,402.5600,475410
2022-06-30,390.2500,399.2200,374.9900,394.9900,394.9900,941880
2022-07-01,393.5800,409.4800,390.9350,400.6700,400.6700,389640
2022-07-05,388.0100,412.4900,385.2200,412.4100,412.4100,482240
2022-07-06,408.7800,417.1500,402.3800,407.2300,407.2300,338940
2022-07-07,413.1400,425.0600,413.1400,423.2000,423.2000,362220
2022-07-08,418.7500,424.8500,412.2900,418.6300,418.6300,349540
2022-07-11,413.1300,417.4200,405.8800,408.5100,408.5100,234610
2022-07-12,405.6100,421.9700,403.5500,411.5000,411.5000,286990
2022-07-13,400.4400,410.0950,395.7700,406.3000,406.3000,418090
2022-07-14,400.2100,400.6500,387.4500,393.1400,393.1400,452720
2022-07-15,402.6400,412.3350,396.0400,408.6200,408.6200,594090
2022-07-18,416.6400,427.2300,411.8400,413.8100,413.8100,416110
2022-07-19,411.0000,427.9600,411.0000,426.7000,426.7000,385740
2022-07-20,427.1800,435.0950,422.1050,434.5400,434.5400,374380
2022-07-21,428.2800,437.8600,421.5000,436.1700,436.1700,720280
2022-07-22,385.0000,392.0000,355.3710,361.3600,361.3600,2250000
2022-07-25,366.9200,392.4900,364.8100,391.1600,391.1600,1080000
2022-07-26,385.5800,393.5700,364.9500,364.9900,364.9900,755940
2022-07-27,370.4600,383.5000,369.4600,379.4300,379.4300,551000
2022-07-28,378.6500,390.8000,371.7600,390.7800,390.7800,431600
2022-07-29,389.1400,409.6400,387.2400,403.5500,403.5500,655060
2022-08-01,398.5500,401.8700,390.1100,398.0000,398.0000,352620
2022-08-02,395.8200,401.1200,389.6196,400.1900,400.1900,513030
2022-08-03,406.5600,417.6700,406.0000,413.4000,413.4000,528370
2022-08-04,415.7600,417.5800,407.5900,416.2600,416.2600,475690
2022-08-05,414.3300,421.0800,408.9605,413.2100,413.2100,301880
2022-08-08,414.4600,425.7000,412.1400,412.7100,412.7100,352450
2022-08-09,410.7300,420.1800,408.8000,419.7700,419.7700,500780
2022-08-10,432.0000,465.0000,429.5150,452.2400,452.2400,1200000
2022-08-11,454.2100,459.9900,451.2474,455.2100,455.2100,672830
2022-08-12,457.8300,464.2800,453.6000,464.2400,464.2400,314690
2022-08-15,456.1700,465.6000,455.7201,465.4000,465.4000,254580
2022-08-16,461.3100,478.1300,460.0800,476.4500,476.4500,431930
2022-08-17,466.3700,467.8600,455.7950,459.8100,459.8100,482320
