Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,72.7841,74.3169,72.5534,73.0231,73.0231,1141608
2022-01-04,74.4406,76.5998,74.2016,76.1465,76.1465,1352256
2022-01-05,76.6491,77.7946,75.9157,76.097,76.097,921115
2022-01-06,77.877,79.7972,77.3414,79.517,79.517,1246665
2022-01-07,78.149,80.1845,78.1325,79.995,79.995,1180324
2022-01-10,80.9015,81.1982,78.9649,80.0362,80.0362,1105990
2022-01-11,80.4317,80.7202,78.9731,80.2257,80.2257,768746
2022-01-12,80.5554,81.4162,80.1681,81.0581,81.0581,857395
2022-01-13,81.33,82.253,81.1158,81.4042,81.4042,1116070
2022-01-14,79.9538,83.5469,79.9538,83.4315,83.4315,1384969
2022-01-18,83.2337,84.0578,81.5361,82.0058,82.0058,1371524
2022-01-19,81.2889,82.352,79.583,79.6654,79.6654,1597002
2022-01-20,80.2751,80.4812,76.748,77.0859,77.0859,1660901
2022-01-21,76.748,76.748,73.3857,73.9214,73.9214,1438699
2022-01-24,72.1001,74.9639,70.5508,74.6054,74.6054,1857998
2022-01-25,73.8884,76.9541,72.5246,76.2948,76.2948,1365185
2022-01-26,76.7563,77.8235,75.0834,76.2454,76.2454,1563599
2022-01-27,77.325,78.7259,75.2977,75.8663,75.8663,964042
2022-01-28,75.4707,76.8552,74.5313,76.7975,76.7975,1122660
2022-01-31,75.7344,76.7975,74.5971,76.4596,76.4596,1265303
2022-02-01,76.6409,78.5116,76.0888,78.3221,78.3221,878815
2022-02-02,77.9843,78.7589,77.2261,78.5776,78.5776,923005
2022-02-03,79.1791,80.3658,78.0089,78.3056,78.3056,858162
2022-02-04,78.6599,80.8438,78.5363,79.962,79.962,1013038
2022-02-07,80.1433,80.9509,79.3604,80.4647,80.4647,649497
2022-02-08,81.7915,82.9947,81.3919,82.8299,82.8299,955358
2022-02-09,82.7886,82.8463,81.6184,81.8739,81.8739,758701
2022-02-10,82.014,84.1319,81.981,82.5579,82.5579,930471
2022-02-11,81.6597,83.7941,80.4647,81.2641,81.2641,1033693
2022-02-14,82.6074,83.0194,79.8676,80.679,80.679,1064580
2022-02-15,81.5113,82.9617,81.5113,82.5497,82.5497,542946
2022-02-16,82.525,83.86,81.9811,82.8134,82.8134,623437
2022-02-17,81.7668,82.1211,79.4428,79.7642,79.7642,774659
2022-02-18,79.4428,80.5677,78.5198,78.9978,78.9978,1034704
2022-02-22,78.9896,79.8137,77.9925,78.8413,78.8413,676146
2022-02-23,79.3605,80.0033,76.6822,77.0118,77.0118,766031
2022-02-24,73.633,75.2483,71.9848,74.9763,74.9763,1564979
2022-02-25,75.825,79.1132,75.6273,78.7341,78.7341,1095446
2022-02-28,76.2289,78.7588,76.2206,78.6929,78.6929,1199622
2022-03-01,77.7205,78.0666,71.8076,72.1826,72.1826,2145822
2022-03-02,73.5671,78.1408,73.4023,77.1931,77.1931,1739345
2022-03-03,77.2837,78.2231,76.097,76.9458,76.9458,1194808
2022-03-04,74.6713,75.0916,72.9901,74.3499,74.3499,1668286
2022-03-07,73.4187,74.3499,69.5867,69.6361,69.6361,1741541
2022-03-08,70.6992,72.4875,68.7626,69.6279,69.6279,1455461
2022-03-09,72.4628,73.8802,72.1002,72.71,72.71,983993
2022-03-10,71.6963,73.534,71.2183,72.7017,72.7017,957925
2022-03-11,73.4846,74.9186,72.4875,72.5534,72.5534,1285052
2022-03-14,73.575,76.6055,73.575,75.4104,75.4104,1301418
2022-03-15,76.1495,76.7101,74.5134,76.2409,76.2409,1391410
2022-03-16,77.8687,80.0363,77.6943,79.6543,79.6543,1248529
2022-03-17,78.0763,78.8341,77.1959,78.6327,78.6327,1130273
2022-03-18,78.4251,79.1228,76.108,78.857,78.857,3429709
2022-03-21,79.6958,80.2107,77.5697,78.367,78.367,946874
2022-03-22,79.3968,80.9914,79.131,79.7539,79.7539,744836
2022-03-23,78.9816,79.6917,77.3081,77.5448,77.5448,994547
