Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,171.50,171.60,162.88,164.28,164.28,1470000
2022-03-02,166.84,171.68,166.84,169.81,169.81,1520000
2022-03-03,171.24,171.72,168.30,169.86,169.86,892310
2022-03-04,166.51,167.26,161.99,164.89,164.89,1120000
2022-03-07,164.75,166.93,158.21,158.47,158.47,2029999
2022-03-08,159.68,165.03,155.94,156.48,156.48,1850000
2022-03-09,161.34,167.02,160.94,164.80,164.80,1430000
2022-03-10,161.64,164.69,160.17,163.79,163.79,1040000
2022-03-11,165.26,166.98,160.21,160.39,160.39,1020000
2022-03-14,163.00,163.42,156.52,157.61,157.61,1540000
2022-03-15,159.68,161.85,158.28,160.99,160.99,1740000
2022-03-16,163.83,169.65,163.57,169.38,169.38,2049999
2022-03-17,166.67,169.33,165.96,168.93,168.93,884870
2022-03-18,168.50,171.50,166.29,170.51,170.51,1490000
2022-03-21,170.37,171.10,165.80,167.83,167.83,639660
2022-03-22,169.45,174.21,168.57,170.53,170.53,1560000
2022-03-23,168.31,169.26,163.53,164.63,164.63,1090000
2022-03-24,164.33,167.09,163.90,166.21,166.21,888750
2022-03-25,166.42,167.67,164.25,166.74,166.74,727750
2022-03-28,166.02,166.88,162.80,166.82,166.82,724680
2022-03-29,171.54,173.99,168.20,169.34,169.34,1240000
2022-03-30,169.12,169.41,164.97,166.02,166.02,721770
2022-03-31,166.39,167.35,162.10,162.10,162.10,1160000
2022-04-01,165.09,165.09,161.06,161.93,161.93,929150
2022-04-04,161.82,162.71,160.93,161.32,161.32,1200000
2022-04-05,161.88,164.50,159.63,159.82,159.82,1340000
2022-04-06,158.17,158.90,156.02,156.50,156.50,2130000
2022-04-07,157.26,157.86,153.84,156.91,156.91,1680000
2022-04-08,157.98,159.32,156.70,158.13,158.13,1720000
2022-04-11,157.45,159.96,157.03,157.51,157.51,1530000
2022-04-12,157.63,159.92,153.67,155.05,155.05,1470000
2022-04-13,151.76,167.81,150.00,165.80,165.80,2130000
2022-04-14,166.00,167.10,159.56,160.75,160.75,1480000
2022-04-18,159.54,160.99,158.21,159.44,159.44,1030000
2022-04-19,160.43,163.44,160.02,163.21,163.21,1090000
