Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,48.87,48.87,45.95,46.32,46.32,0
2022-03-02,46.86,48.47,46.68,47.67,47.67,0
2022-03-03,47.85,48.17,46.61,47.24,47.24,0
2022-03-04,46.05,46.05,43.01,43.69,43.69,0
2022-03-07,43.31,44,40.54,40.6,40.6,0
2022-03-08,41.29,43.11,40.29,41.48,41.48,0
2022-03-09,43.14,43.93,42.78,43.49,43.49,0
2022-03-10,42.9,44.04,42.49,43.86,43.86,0
2022-03-11,44.26,45.06,43.55,43.84,43.84,0
2022-03-14,44.54,45.81,43.99,44.44,44.44,0
2022-03-15,44.57,45.21,43.15,44,44,0
2022-03-16,44.81,46.84,44.68,45.89,45.89,0
2022-03-17,45.18,45.26,44.51,45.07,45.07,0
2022-03-18,44.7,45.18,43.83,44.85,44.85,0
2022-03-21,45.23,45.8,44.33,44.89,44.89,0
2022-03-22,45.57,46.76,45.42,46.45,46.45,0
2022-03-23,46.23,46.23,44.12,44.16,44.16,0
2022-03-24,44.5,44.94,44.1,44.5,44.5,0
2022-03-25,44.58,45.5,44.35,45.47,45.47,0
2022-03-28,45.5,45.5,44.29,45.12,45.12,0
2022-03-29,46.07,46.44,45.4,46.08,46.08,0
2022-03-30,46.36,46.5,43.98,44.48,44.48,0
2022-03-31,44.17,44.9,43.08,43.13,43.13,0
2022-04-01,43.9,44.82,42.31,42.57,42.57,0
2022-04-04,42.27,42.72,41.53,41.67,41.67,0
2022-04-05,41.5,42.03,40.71,40.89,40.89,0
2022-04-06,40.61,40.69,39.1,39.58,39.58,0
2022-04-07,39.77,39.77,38.12,38.72,38.72,0
2022-04-08,38.89,39.2,38.19,38.55,38.55,0
2022-04-11,38.54,39.59,38.42,38.65,38.65,0
2022-04-12,38.76,39.36,37.77,38.03,38.03,0
2022-04-13,37.69,38.75,37.49,38.66,38.66,0
2022-04-14,38.67,38.8,37.29,37.33,37.33,0
2022-04-18,37.21,38.12,37.21,38.01,38.01,0
2022-04-19,38.51,40.28,38.26,40.19,40.19,0
2022-04-20,39.12,39.17,37.51,38.1,38.1,0
2022-04-21,38.26,38.61,35.28,35.29,35.29,0
2022-04-22,35.23,35.87,34.47,34.5,34.5,0
2022-04-25,34.2,34.98,33.37,34.64,34.64,0
2022-04-26,34.04,34.58,33.35,33.59,33.59,0
2022-04-27,33.59,34.01,33.19,33.42,33.42,0
2022-04-28,33.83,34.23,33.11,34.12,34.12,0
2022-04-29,34.04,34.36,32.79,32.89,32.89,0
2022-05-02,33.17,33.53,32.45,33.4,33.4,0
2022-05-03,33.49,34.13,33.18,33.62,33.62,0
2022-05-04,33.58,34.68,33.19,34.5,34.5,0
2022-05-05,33.99,34.21,32.72,33.11,33.11,0
2022-05-06,33.02,33.13,31.88,32.36,32.36,0
2022-05-09,31.71,32.02,31.04,31.36,31.36,0
2022-05-10,31.89,32.22,30.42,31.08,31.08,0
2022-05-11,31.21,31.85,30.07,30.2,30.2,0
2022-05-12,30.01,30.6,29.18,30.35,30.35,0
2022-05-13,30.9,31.13,30.15,30.51,30.51,0
2022-05-16,30.55,30.69,29.54,29.95,29.95,0
2022-05-17,30.73,31.35,30.45,31.24,31.24,0
2022-05-18,30.65,31.18,30.4,30.48,30.48,0
2022-05-19,30.01,30.58,29.62,29.68,29.68,0
2022-05-20,30.1,30.27,28.84,29.6,29.6,0
2022-05-23,30.37,30.65,29.57,30.23,30.23,0
2022-05-24,29.97,30.22,28.77,29.22,29.22,0
2022-05-25,29.33,30.41,29.03,30.31,30.31,0
2022-05-26,30.56,31.33,30.33,31.2,31.2,0
2022-05-27,31.14,31.5,30.95,31.44,31.44,0
2022-05-31,31.35,31.77,30.93,31.58,31.58,0
2022-06-01,31.7,32.03,30.89,31.41,31.41,0
2022-06-02,31.44,32.68,31.27,32.44,32.44,0
2022-06-03,32.13,32.24,31.63,31.87,31.87,0
2022-06-06,32.33,32.6,32.01,32.06,32.06,0
2022-06-07,31.55,32.52,31.52,32.34,32.34,0
2022-06-08,31.86,32.06,31.54,31.94,31.94,0
2022-06-09,32.29,32.29,30.75,30.76,30.76,0
2022-06-10,29.78,30.18,28.65,28.87,28.87,0
2022-06-13,28.01,28.12,27.11,27.32,27.32,0
2022-06-14,27.96,27.96,27.12,27.42,27.42,0
2022-06-15,28.05,28.05,26.97,27.37,27.37,0
2022-06-16,26.65,26.93,25.6,25.9,25.9,0
2022-06-17,26.13,26.95,25.85,26.44,26.44,0
2022-06-21,27.2,27.4,26.54,26.56,26.56,0
2022-06-22,26.11,26.76,26.09,26.6,26.6,0
2022-06-23,26.39,26.71,25.65,25.95,25.95,0
2022-06-24,26.21,27.58,26.21,27.47,27.47,0
2022-06-27,27.64,27.69,27,27.36,27.36,0
2022-06-28,27.76,28.07,27.25,27.31,27.31,0
2022-06-29,27.22,27.29,26.84,27.18,27.18,0
2022-06-30,26.47,27.27,25.88,26.66,26.66,0
2022-07-01,26.51,27.36,26.49,27.26,27.26,0
2022-07-05,26.54,27.61,26.35,27.57,27.57,0
2022-07-06,27.42,27.66,26.79,26.96,26.96,0
2022-07-07,27.08,27.92,27.08,27.67,27.67,0
2022-07-08,27.64,28.02,27.23,27.45,27.45,0
2022-07-11,27.05,27.34,26.7,26.96,26.96,0
2022-07-12,26.73,27.55,26.63,27.05,27.05,0
2022-07-13,26.71,26.86,26.08,26.45,26.45,0
2022-07-14,25.76,26.21,25.48,26.09,26.09,0
2022-07-15,26.84,27.45,26.18,27.29,27.29,0
2022-07-18,27.53,28.19,27.23,27.53,27.53,0
2022-07-19,28.11,28.7,28.07,28.51,28.51,0
2022-07-20,28.31,29.15,28.27,29.14,29.14,0
2022-07-21,28.15,28.15,26.13,27.56,27.56,0
2022-07-22,27.1,27.47,26.5,26.85,26.85,0
2022-07-25,27.31,27.45,26.92,27.16,27.16,0
2022-07-26,26.86,27.16,26.56,26.72,26.72,0
2022-07-27,27.04,27.39,26.74,27.24,27.24,0
2022-07-28,27.14,27.89,26.85,27.81,27.81,0
2022-07-29,27.98,28.29,27.63,28.03,28.03,0
2022-08-01,27.79,28.09,27.25,27.85,27.85,0
2022-08-02,27.61,27.75,27.31,27.35,27.35,0
2022-08-03,27.57,27.82,27.3,27.49,27.49,0
2022-08-04,27.56,27.7,27.31,27.53,27.53,0
2022-08-05,27.56,28.15,27.48,27.9,27.9,0
2022-08-08,28.05,28.43,27.92,28.02,28.02,0
2022-08-09,28.08,28.24,27.72,28.22,28.22,0
2022-08-10,28.78,29.56,28.48,29.18,29.18,0
2022-08-11,29.43,29.68,29.25,29.38,29.38,0
2022-08-12,29.38,29.75,29.11,29.72,29.72,0
2022-08-15,29.13,29.87,29.13,29.79,29.79,0
2022-08-16,29.7,30.43,29.61,30.3,30.3,0
2022-08-17,29.7,29.98,29.33,29.61,29.61,0
2022-08-18,29.55,29.58,29.22,29.49,29.49,0
2022-08-19,29.09,29.11,28.44,28.65,28.65,0
2022-08-22,28.07,28.07,27.68,27.73,27.73,0
2022-08-23,27.91,28.22,27.64,27.78,27.78,0
2022-08-24,27.59,28.23,27.46,27.86,27.86,0
2022-08-25,28,28.54,27.93,28.51,28.51,0
2022-08-26,28.58,28.68,27.28,27.29,27.29,0
2022-08-29,27.05,27.17,26.77,26.84,26.84,0
2022-08-30,27.32,27.32,26.34,26.52,26.52,0
2022-08-31,26.68,26.68,26.23,26.33,26.33,0
2022-09-01,26.19,26.19,25.7,26.02,26.02,0
2022-09-02,26.44,26.57,25.63,25.88,25.88,0
2022-09-06,26.21,26.41,24.9,25.12,25.12,0
2022-09-07,25.05,26,24.95,25.98,25.98,0
2022-09-08,25.78,27.04,25.6,26.77,26.77,0
2022-09-09,27,27.19,26.57,26.93,26.93,0
2022-09-12,26.71,27.6,26.71,27.27,27.27,0
2022-09-13,26.49,26.66,25.59,25.68,25.68,0
2022-09-14,25.71,25.85,25.23,25.71,25.71,0
2022-09-15,25.71,26.63,25.71,26.12,26.12,0
2022-09-16,25.8,25.8,24.95,25.21,25.21,0
2022-09-19,24.89,26.05,24.89,25.94,25.94,0
2022-09-20,25.69,25.8,25.2,25.44,25.44,0
2022-09-21,25.49,25.79,24.84,24.85,24.85,0
2022-09-22,25.04,25.04,23.89,23.96,23.96,0
2022-09-23,23.62,23.76,23.2,23.74,23.74,0
2022-09-26,23.53,23.88,23.28,23.32,23.32,0
2022-09-27,23.61,23.87,22.71,22.97,22.97,0
2022-09-28,23,23.57,22.91,23.25,23.25,0
2022-09-29,22.81,22.85,22.26,22.7,22.7,0
2022-09-30,22.74,23.24,22.58,22.6,22.6,0
2022-10-03,23.07,23.34,22.46,23.13,23.13,0
2022-10-04,23.52,24.87,23.45,24.86,24.86,0
2022-10-05,24.3,24.67,24.12,24.3,24.3,0
2022-10-06,23.83,24.17,23.37,23.41,23.41,0
2022-10-07,23.18,23.24,22.65,22.87,22.87,0
2022-10-10,23.15,23.21,22.69,22.86,22.86,0
2022-10-11,22.76,23.14,22.48,22.74,22.74,0
2022-10-12,22.72,22.93,22.39,22.64,22.64,0
2022-10-13,22.31,23.8,21.94,23.57,23.57,0
2022-10-14,23.72,24.2,22.96,23.13,23.13,0
2022-10-17,23.77,24.35,23.62,24.28,24.28,0
2022-10-18,24.7,25,23.99,24.29,24.29,0
2022-10-19,23.94,24.29,23.35,23.58,23.58,0
2022-10-20,23.14,23.69,22.38,22.45,22.45,0
2022-10-21,22.38,22.45,21.29,21.98,21.98,0
2022-10-24,22.18,23.13,22.01,22.97,22.97,0
2022-10-25,22.82,23.9,22.68,23.89,23.89,0
