Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,341.09,342.14,310.33,316.75,316.75,1190000
2022-03-02,321.80,341.42,318.20,337.18,337.18,966880
2022-03-03,337.18,339.56,325.68,328.11,328.11,682430
2022-03-04,319.20,320.91,296.76,304.83,304.83,980050
2022-03-07,303.93,305.42,276.94,277.95,277.95,1250000
2022-03-08,283.44,295.00,272.77,285.69,285.69,1190000
2022-03-09,299.51,310.06,298.07,306.49,306.49,946360
2022-03-10,299.90,310.33,299.21,309.33,309.33,510410
2022-03-11,312.16,316.66,288.56,289.25,289.25,1080000
2022-03-14,299.03,302.76,287.79,289.78,289.78,1120000
2022-03-15,290.03,295.76,286.84,294.96,294.96,800290
2022-03-16,302.33,320.82,302.28,320.51,320.51,1170000
2022-03-17,313.50,318.90,311.16,316.39,316.39,817890
2022-03-18,316.40,317.15,305.80,312.65,312.65,2140000
2022-03-21,313.58,318.49,305.89,310.88,310.88,983020
2022-03-22,317.55,328.88,316.67,321.18,321.18,821660
2022-03-23,316.79,317.53,292.28,299.99,299.99,1790000
2022-03-24,304.91,309.77,300.74,305.53,305.53,753090
2022-03-25,306.45,313.59,306.02,308.51,308.51,431630
2022-03-28,306.35,307.39,298.65,303.44,303.44,535530
2022-03-29,311.16,319.93,309.75,316.07,316.07,893710
2022-03-30,316.90,317.63,302.41,306.47,306.47,1190000
2022-03-31,306.08,307.04,293.00,293.49,293.49,1020000
2022-04-01,300.19,302.71,288.26,289.82,289.82,677660
2022-04-04,288.68,293.73,284.57,289.01,289.01,529850
2022-04-05,288.00,292.20,282.04,282.67,282.67,567350
2022-04-06,279.20,280.62,272.87,276.39,276.39,868150
2022-04-07,276.63,277.36,262.64,269.95,269.95,1170000
2022-04-08,273.20,273.20,264.95,266.48,266.48,755750
2022-04-11,265.98,275.10,262.79,270.16,270.16,675400
2022-04-12,271.92,276.28,266.77,268.69,268.69,666470
2022-04-13,268.63,275.33,266.92,274.21,274.21,577890
2022-04-14,274.92,276.00,264.95,265.91,265.91,668050
2022-04-18,264.36,267.61,261.08,266.61,266.61,619240
2022-04-19,274.50,289.35,274.06,288.20,288.20,1510000
2022-04-20,291.55,296.96,285.26,287.11,287.11,922740
2022-04-21,290.10,294.00,265.08,266.19,266.19,1220000
2022-04-22,267.52,271.84,259.01,259.49,259.49,848380
2022-04-25,257.33,261.56,251.99,261.06,261.06,755500
2022-04-26,257.96,259.37,247.65,247.81,247.81,652110
2022-04-27,247.81,252.42,245.73,247.49,247.49,500900
2022-04-28,251.34,252.84,242.45,251.54,251.54,664390
2022-04-29,251.48,254.43,240.79,242.25,242.25,776280
2022-05-02,245.03,249.21,239.90,248.63,248.63,717380
2022-05-03,249.42,256.07,246.90,253.11,253.11,549430
2022-05-04,254.36,264.39,248.20,263.35,263.35,603620
2022-05-05,256.81,257.87,241.56,245.97,245.97,924500
2022-05-06,245.53,246.35,231.69,234.86,234.86,1030000
2022-05-09,230.98,230.98,216.56,220.03,220.03,1550000
