Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,59.43,59.67,55.41,55.85,55.85,2040000
2022-03-02,56.23,59.2,56.23,58.8,58.8,1410000
2022-03-03,58.81,59.26,57.86,58.41,58.41,1240000
2022-03-04,56.72,57.38,54.97,55.95,55.95,1820000
2022-03-07,55.46,55.98,52.15,52.19,52.19,1870000
2022-03-08,53.35,53.91,50.79,52.47,52.47,2530000
2022-03-09,54.98,56.12,54.22,54.65,54.65,1480000
2022-03-10,53.77,54.88,53.61,54.82,54.82,1400000
2022-03-11,55.02,56.13,55.02,55.4,55.4,1730000
2022-03-14,56.61,58.26,56.43,57.35,57.35,2000000
2022-03-15,57.8,58.53,56.8,57.58,57.58,1760000
2022-03-16,58.46,59.77,57.69,59.14,59.14,1050000
2022-03-17,57.98,58.53,57.46,57.68,57.68,960820
2022-03-18,57.55,57.82,56.15,57.72,57.72,3480000
2022-03-21,57.73,58.43,57.17,57.83,57.83,1050000
2022-03-22,58.79,59.46,58.08,59.15,59.15,1290000
2022-03-23,58.64,58.82,57.07,57.18,57.18,660170
2022-03-24,57.85,58.15,56.79,57.81,57.81,764970
2022-03-25,58.0,59.75,57.92,59.68,59.68,1010000
2022-03-28,59.11,59.17,58.3,59.06,59.06,719160
2022-03-29,60.4,60.48,58.9,59.46,59.46,980120
2022-03-30,59.49,59.57,57.19,57.69,57.69,1020000
2022-03-31,57.22,58.19,56.11,56.12,56.12,872660
2022-04-01,57.2,57.27,55.24,55.66,55.66,1390000
2022-04-04,55.37,55.43,54.15,54.52,54.52,1300000
2022-04-05,54.2,54.87,53.16,53.26,53.26,801440
2022-04-06,52.9,53.05,51.87,52.13,52.13,1130000
2022-04-07,52.31,52.31,50.17,50.19,50.19,1700000
2022-04-08,50.57,50.8,49.87,50.0,50.0,2250000
2022-04-11,49.95,51.39,49.92,50.24,50.24,1010000
2022-04-12,50.24,51.03,49.22,49.55,49.55,1090000
2022-04-13,49.16,50.62,48.86,50.59,50.59,709550
2022-04-14,50.5,50.87,50.0,50.46,50.46,1020000
2022-04-18,50.15,50.93,49.96,50.78,50.78,1140000
2022-04-19,51.3,52.45,51.3,52.26,52.26,1040000
2022-04-20,52.78,53.37,52.63,52.95,52.95,1010000
2022-04-21,53.63,53.76,51.59,51.86,51.86,1190000
2022-04-22,51.65,51.67,50.05,50.1,50.1,893460
2022-04-25,49.73,50.27,48.25,50.08,50.08,1000000
2022-04-26,49.2,49.91,48.41,48.5,48.5,853180
2022-04-27,48.57,49.13,47.91,48.67,48.67,1420000
2022-04-28,49.97,51.42,49.51,51.24,51.24,1730000
2022-04-29,50.96,51.69,49.89,49.99,49.99,1710000
2022-05-02,50.43,50.5,48.75,49.98,49.98,1460000
2022-05-03,50.23,51.0,49.81,50.58,50.58,739960
2022-05-04,50.43,51.49,49.61,51.46,51.46,1350000
2022-05-05,50.65,50.8,48.69,49.44,49.44,1030000
2022-05-06,49.48,49.55,47.59,48.16,48.16,954420
2022-05-09,47.41,47.87,46.7,47.18,47.18,1100000
2022-05-10,47.77,47.9,45.74,46.92,46.92,882260
2022-05-11,46.78,47.73,45.56,45.69,45.69,852320
2022-05-12,45.51,46.31,44.96,46.09,46.09,1250000
2022-05-13,46.52,47.35,46.25,46.88,46.88,756640
2022-05-16,46.57,46.87,45.65,46.33,46.33,716890
2022-05-17,47.37,48.38,47.37,48.31,48.31,820490
2022-05-18,47.66,47.87,46.18,46.35,46.35,1160000
2022-05-19,45.51,46.35,45.17,45.53,45.53,937000
2022-05-20,45.54,46.25,44.55,45.88,45.88,1190000
2022-05-23,47.02,47.58,46.29,46.81,46.81,1120000
2022-05-24,46.61,46.61,44.85,45.81,45.81,979460
2022-05-25,45.43,46.83,45.31,46.44,46.44,1350000
2022-05-26,46.89,48.17,46.89,47.68,47.68,1520000
2022-05-27,47.8,48.8,47.75,48.76,48.76,1330000
2022-05-31,48.29,49.36,47.76,49.09,49.09,3080000
2022-06-01,49.27,49.33,47.49,48.38,48.38,1110000
2022-06-02,48.42,50.44,48.33,50.4,50.4,1460000
2022-06-03,50.02,50.39,49.69,50.22,50.22,1710000
2022-06-06,50.83,51.46,49.93,50.0,50.0,938790
2022-06-07,49.61,50.77,49.51,50.74,50.74,952890
2022-06-08,50.02,50.24,49.42,49.79,49.79,778850
2022-06-09,49.53,49.91,48.14,48.21,48.21,1140000
2022-06-10,46.93,47.56,46.03,46.27,46.27,1390000
2022-06-13,45.06,45.39,44.04,44.35,44.35,1070000
2022-06-14,44.54,45.36,44.34,45.06,45.06,1060000
2022-06-15,45.18,45.97,44.6,45.15,45.15,1370000
2022-06-16,44.24,44.24,42.13,42.69,42.69,1110000
2022-06-17,43.26,43.67,42.52,43.03,43.03,2320000
2022-06-21,44.5,44.56,43.62,43.99,43.99,1240000
2022-06-22,43.44,44.13,42.96,43.82,43.82,967720
2022-06-23,43.59,43.91,41.88,42.72,42.72,926870
2022-06-24,43.07,44.99,43.0,44.88,44.88,1430000
2022-06-27,45.47,45.51,43.92,44.19,44.19,1100000
2022-06-28,44.78,45.35,43.97,44.2,44.2,875680
2022-06-29,44.24,44.24,43.29,43.45,43.45,663530
2022-06-30,42.11,42.97,41.58,42.15,42.15,965590
2022-07-01,42.02,42.77,41.23,42.67,42.67,1330000
2022-07-05,41.61,42.83,40.72,42.8,42.8,1170000
2022-07-06,42.4,42.77,41.49,42.16,42.16,724640
2022-07-07,42.86,43.57,42.86,43.45,43.45,827930
2022-07-08,43.7,43.83,42.68,43.34,43.34,779240
2022-07-11,42.71,43.15,42.37,42.8,42.8,582310
2022-07-12,42.42,44.32,42.36,43.26,43.26,1740000
2022-07-13,43.0,43.08,42.36,42.66,42.66,1050000
2022-07-14,41.67,42.28,41.06,41.78,41.78,892040
2022-07-15,42.59,43.83,42.18,43.75,43.75,842020
2022-07-18,44.41,44.9,43.67,43.93,43.93,612900
2022-07-19,44.68,45.74,44.33,45.34,45.34,835320
2022-07-20,45.17,46.45,44.96,46.36,46.36,934620
2022-07-21,45.48,47.69,45.11,45.82,45.82,1320000
2022-07-22,46.11,46.29,44.74,45.06,45.06,812290
2022-07-25,45.43,45.82,44.9,45.77,45.77,886790
2022-07-26,45.44,45.85,44.91,45.18,45.18,937690
2022-07-27,45.21,46.25,44.98,46.01,46.01,823210
2022-07-28,45.91,46.3,44.87,45.97,45.97,757280
2022-07-29,45.97,46.71,45.97,46.45,46.45,1010000
2022-08-01,45.62,46.35,44.82,46.19,46.19,776730
2022-08-02,45.97,45.98,45.04,45.05,45.05,923840
2022-08-03,45.31,46.34,44.92,45.96,45.96,2200000
2022-08-04,45.99,46.08,45.41,45.6,45.6,866910
2022-08-05,45.49,46.7,45.49,46.58,46.58,474620
2022-08-08,46.86,47.22,46.19,46.2,46.2,422210
2022-08-09,46.11,46.37,45.72,46.31,46.31,538430
2022-08-10,47.09,48.15,47.03,48.04,48.04,576490
2022-08-11,48.6,49.26,48.6,48.88,48.88,491040
2022-08-12,49.3,49.78,48.82,49.78,49.78,529560
2022-08-15,49.22,49.8,48.97,49.64,49.64,437310
2022-08-16,49.35,50.32,49.35,50.18,50.18,630670
2022-08-17,49.48,49.98,49.01,49.64,49.64,452040
2022-08-18,49.62,49.93,49.31,49.88,49.88,421280
2022-08-19,49.43,49.65,48.67,49.1,49.1,584170
2022-08-22,48.28,48.28,47.56,47.8,47.8,499220
2022-08-23,47.86,48.45,47.86,48.04,48.04,494160
2022-08-24,47.97,48.05,47.54,47.86,47.86,463450
2022-08-25,47.98,48.93,47.94,48.81,48.81,561100
2022-08-26,48.9,49.03,47.99,48.04,48.04,775780
2022-08-29,47.66,47.93,47.11,47.41,47.41,850690
2022-08-30,47.66,47.71,46.56,47.18,47.18,562770
2022-08-31,47.2,47.44,46.72,47.05,47.05,1130000
2022-09-01,46.83,46.83,45.89,46.64,46.64,1020000
2022-09-02,47.28,47.52,45.55,45.81,45.81,1020000
2022-09-06,46.05,46.05,44.37,45.0,45.0,950300
2022-09-07,44.97,46.37,44.7,46.25,46.25,586460
2022-09-08,45.82,47.78,45.62,47.75,47.75,742880
2022-09-09,48.09,48.66,47.97,48.55,48.55,679220
2022-09-12,48.64,49.65,48.46,49.13,49.13,936120
2022-09-13,47.96,48.35,47.31,47.62,47.62,1080000
2022-09-14,47.8,47.95,46.94,47.84,47.84,1120000
2022-09-15,47.87,48.76,47.68,47.72,47.72,1100000
2022-09-16,46.81,47.02,45.85,46.71,46.71,3600000
2022-09-19,46.04,47.79,46.04,47.54,47.54,860060
2022-09-20,47.15,47.55,46.8,47.24,47.24,709730
2022-09-21,47.5,48.0,46.85,46.85,46.85,867580
