Time,SVB
2023-01-01,1.0
2023-01-02,2.0
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,2.0
2023-01-06,1.0
2023-01-07,1.0
2023-01-08,1.0
2023-01-09,1.0
2023-01-10,2.0
2023-01-11,1.0
2023-01-12,1.0
2023-01-13,2.0
2023-01-14,1.0
2023-01-15,1.0
2023-01-16,2.0
2023-01-17,2.0
2023-01-18,1.0
2023-01-19,2.0
2023-01-20,2.0
2023-01-21,1.0
2023-01-22,1.0
2023-01-23,1.0
2023-01-24,1.0
2023-01-25,1.0
2023-01-26,1.0
2023-01-27,1.0
2023-01-28,1.0
2023-01-29,1.0
2023-01-30,1.0
2023-01-31,1.0
2023-02-01,1.0
2023-02-02,1.0
2023-02-03,1.0
2023-02-04,1.0
2023-02-05,1.0
2023-02-06,1.0
2023-02-07,1.0
2023-02-08,1.0
2023-02-09,1.0
2023-02-10,1.0
2023-02-11,1.0
2023-02-12,1.0
2023-02-13,1.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-17,1.0
2023-02-18,0.0
2023-02-19,1.0
2023-02-20,1.0
2023-02-21,1.0
2023-02-22,1.0
2023-02-23,1.0
2023-02-24,1.0
2023-02-25,1.0
2023-02-26,1.0
2023-02-27,1.0
2023-02-28,1.0
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,1.0
2023-03-04,1.0
2023-03-05,1.0
2023-03-06,1.0
2023-03-07,1.0
2023-03-08,1.0
2023-03-09,11.0
2023-03-10,84.0
2023-03-11,85.0
2023-03-12,83.0
2023-03-13,100.0
2023-03-14,49.0
2023-03-15,28.0
2023-03-16,18.0
2023-03-17,14.0
2023-03-18,8.0
2023-03-19,8.0
2023-03-20,10.0
2023-03-21,8.0
2023-03-22,7.0
2023-03-23,5.0
2023-03-24,5.0
2023-03-25,3.0
2023-03-26,3.0
2023-03-27,7.0
2023-03-28,6.0
2023-03-29,6.0
2023-03-30,5.0
2023-03-31,3.31
2023-04-01,1.69
2023-04-02,1.66
2023-04-03,2.78
2023-04-04,2.28
2023-04-05,2.22
2023-04-06,2.12
2023-04-07,1.62
2023-04-08,1.13
2023-04-09,1.09
2023-04-10,1.59
2023-04-11,2.19
2023-04-12,1.85
2023-04-13,1.99
2023-04-14,1.62
2023-04-15,0.99
2023-04-16,1.03
2023-04-17,1.89
2023-04-18,1.72
2023-04-19,1.72
2023-04-20,1.79
2023-04-21,1.56
2023-04-22,0.99
2023-04-23,1.03
2023-04-24,1.95
2023-04-25,1.79
2023-04-26,1.72
2023-04-27,1.29
2023-04-28,1.99
2023-04-29,1.42
2023-04-30,1.16
2023-05-01,2.42
2023-05-02,1.89
2023-05-03,1.99
2023-05-04,1.79
2023-05-05,1.46
2023-05-06,0.83
2023-05-07,0.96
2023-05-08,1.52
2023-05-09,1.56
2023-05-10,1.52
2023-05-11,1.56
2023-05-12,1.32
2023-05-13,0.7
2023-05-14,0.79
2023-05-15,1.42
2023-05-16,1.59
2023-05-17,1.49
2023-05-18,1.23
2023-05-19,1.16
2023-05-20,0.89
2023-05-21,0.96
2023-05-22,1.62
2023-05-23,1.69
2023-05-24,1.49
2023-05-25,1.32
2023-05-26,1.13
2023-05-27,0.6
2023-05-28,0.63
2023-05-29,0.89
2023-05-30,1.23
2023-05-31,1.26
2023-06-01,1.26
2023-06-02,1.06
2023-06-03,0.73
2023-06-04,0.76
2023-06-05,1.19
2023-06-06,1.32
2023-06-07,1.19
2023-06-08,1.13
2023-06-09,1.06
2023-06-10,0.6
2023-06-11,0.7
2023-06-12,1.32
2023-06-13,1.16
2023-06-14,1.26
2023-06-15,1.29
2023-06-16,1.36
2023-06-17,0.79
2023-06-18,0.86
2023-06-19,1.29
2023-06-20,1.26
2023-06-21,1.26
2023-06-22,1.32
2023-06-23,1.16
2023-06-24,0.79
2023-06-25,0.73
2023-06-26,1.19
2023-06-27,1.26
2023-06-28,1.23
2023-06-29,1.16
2023-06-30,1.32
