ticker,assets_bn,uninsured_dep_pct,tier1_lev,ltd_ratio
BAC,2418.5,41.7,7.68,50.4
BANR,15.8,37.9,9.40,74.5
BOKF,47.8,48.2,8.60,72.1
CATY,22.6,38.1,9.70,74.3
CBSH,31.7,56.7,9.20,61.7
CFG,226.4,41.9,8.85,86.2
COLB,52.1,38.6,8.90,81.0
CVBF,16.0,41.7,9.90,42.1
EBC,13.4,32.7,9.20,63.2
EWBC,64.1,47.2,9.15,85.8
FFBC,16.9,32.8,9.30,80.5
FFIN,13.1,50.7,9.80,49.3
FHN,78.7,45.1,9.20,90.5
FITB,206.3,46.5,8.45,72.3
FRC,212.6,67.3,8.51,94.1
GABC,5.8,37.5,9.40,66.8
GBCI,26.6,42.7,9.60,73.8
HAFC,7.3,37.6,9.50,96.7
HBAN,182.3,44.2,8.12,79.5
HWC,35.2,38.5,9.80,79.2
IBCP,4.8,34.7,9.20,72.3
INDB,19.3,37.8,9.20,86.8
JPM,3201.9,59.5,8.30,46.1
KEY,187.6,48.2,8.78,81.8
ONB,46.5,35.7,9.10,87.9
OZK,27.7,32.4,11.40,96.6
PB,37.9,37.6,9.00,56.8
RF,154.2,34.8,8.80,71.7
RNST,17.0,34.5,9.10,85.6
SBNY,110.4,89.3,8.79,83.9
SFNC,26.5,34.8,9.30,66.1
SIVB,209.0,94.3,7.96,42.0
TCBI,36.7,54.9,9.50,79.4
TFC,546.0,41.8,8.54,76.0
TRMK,16.8,37.1,9.20,73.6
UBSI,29.4,34.4,9.10,91.4
UMBF,37.7,54.0,8.10,68.9
USB,585.1,52.2,8.05,71.2
VLY,57.5,39.8,8.40,98.2
WAFD,21.6,35.7,9.30,106.0
WAL,67.7,52.6,8.22,98.7
WBS,71.2,42.7,8.50,91.5
WFC,1717.5,39.3,8.34,63.8
WSFS,16.1,34.6,9.30,74.1
WTFC,52.9,40.1,8.95,86.3
ZION,89.5,49.2,7.65,76.5
