event_id,day,AAR,se,t,n,CAAR,p,sig
1,-2,-0.927,0.147,-6.299582646181324,48,-0.927,0,***
1,-1,-1.91,0.153,-12.448980260477756,48,-2.837,0,***
1,0,-0.569,0.127,-4.475744256488192,48,-3.405,0,***
1,1,-7.489,1.828,-4.09625628295192,48,-10.894,2e-4,***
1,2,-2.989,1.183,-2.5267638557979306,47,-13.884,0.015,*
2,-2,-0.569,0.127,-4.480318937528386,48,-0.569,0,***
2,-1,-7.484,1.828,-4.093705035854624,48,-8.053,2e-4,***
2,0,-2.986,1.183,-2.52286828642012,47,-11.038,0.0152,*
2,1,-13.505,2.498,-5.406051883881109,46,-24.544,0,***
2,2,2.231,0.86,2.5943161570809314,46,-22.313,0.0127,*
3,-2,-7.459,1.828,-4.0795290130570265,48,-7.459,2e-4,***
3,-1,-2.965,1.184,-2.5038006483877613,47,-10.423,0.0159,*
3,0,-13.499,2.498,-5.4036492713067705,46,-23.923,0,***
3,1,2.216,0.86,2.577365034961835,46,-21.707,0.0133,*
3,2,-1.56,0.661,-2.3610194626346384,46,-23.267,0.0226,*
4,-2,-13.504,2.499,-5.404542122303417,46,-13.504,0,***
4,-1,2.21,0.86,2.5706567985578745,46,-11.293,0.0135,*
4,0,-1.564,0.661,-2.3663846738219405,46,-12.858,0.0223,*
4,1,2.266,0.351,6.453036472209562,46,-10.592,0,***
4,2,-6.034,0.849,-7.108191744011866,46,-16.626,0,***
5,-2,0.033,0.304,0.10859010842416894,46,0.033,0.914,
5,-1,-0.776,1.289,-0.6024367179184664,46,-0.743,0.54990000000000006,
5,0,-2.628,0.534,-4.917171800674686,45,-3.371,0,***
5,1,-5.493,0.673,-8.165906810763717,45,-8.864,0,***
5,2,-5.656,5.075,-1.1145842350790496,46,-14.52,0.2709,
