ticker,CAR_capm_x,t_capm_x,event_id
SIVB,-0.9157,-13.724,1
SBNY,-0.3762,-7.643,1
FRC,-0.3395,-8.928,1
ZION,-0.1414,-4.574,1
WAL,-0.3537,-9.952,1
PACW,-0.7314,-20.472,1
CMA,-0.1115,-3.296,1
KEY,-0.1014,-3.259,1
RF,-0.0867,-2.857,1
JPM,-0.0348,-1.34,1
BAC,-0.0738,-2.646,1
WFC,-0.0814,-2.746,1
USB,-0.1107,-3.807,1
TFC,-0.1265,-4.405,1
FITB,-0.1226,-3.958,1
HBAN,-0.0877,-3.007,1
CFG,-0.1262,-4.411,1
FHN,-0.0556,-3.625,1
COLB,-0.1428,-4.632,1
OZK,-0.1399,-4.605,1
WTFC,-0.0892,-3.292,1
BOKF,-0.066,-2.442,1
UMBF,-0.0995,-3.319,1
VLY,-0.0771,-2.801,1
WBS,-0.1411,-4.464,1
HWC,-0.0982,-3.315,1
EWBC,-0.1215,-3.614,1
CBSH,-0.049,-2.216,1
FFBC,-0.0762,-2.912,1
PB,-0.0914,-3.599,1
TCBI,-0.0457,-1.284,1
ONB,-0.054,-1.941,1
UBSI,-0.0639,-2.406,1
GBCI,-0.0874,-3.218,1
INDB,-0.0745,-2.897,1
WSFS,-0.1037,-3.256,1
BANR,-0.0809,-2.93,1
FFIN,-0.0601,-1.899,1
TRMK,-0.0626,-1.873,1
SFNC,-0.0779,-2.349,1
HAFC,-0.0493,-1.653,1
CVBF,-0.0878,-3.328,1
RNST,-0.0794,-2.701,1
WAFD,-0.052,-1.777,1
CATY,-0.0647,-2.676,1
EBC,-0.1074,-3.41,1
GABC,-0.0915,-3.423,1
IBCP,-0.0724,-2.448,1
SIVB,-0.8862,-18.819,2
SBNY,-0.3308,-8.703,2
FRC,-1.0383,-27.377,2
ZION,-0.3684,-11.949,2
WAL,-0.8459,-23.883,2
PACW,-0.6835,-19.139,2
CMA,-0.3843,-11.339,2
KEY,-0.3412,-10.95,2
RF,-0.1398,-4.61,2
JPM,-0.0153,-0.589,2
BAC,-0.1162,-4.165,2
WFC,-0.0833,-2.816,2
USB,-0.1793,-6.169,2
TFC,-0.3032,-10.548,2
FITB,-0.2392,-7.723,2
HBAN,-0.2526,-8.689,2
CFG,-0.1735,-6.088,2
FHN,-0.2647,-17.312,2
