ticker,CAR_raw,t_raw,CAR_capm,t_capm,CAR_ff3,t_ff3,p_ff3,CAR_diff_pp,CAR_raw_pct,CAR_capm_pct,CAR_ff3_pct
SIVB,-0.89,-18.544,-0.8862,-18.819,-0.884,-19.316,0,0.22,-89%,-88.62%,-88.4%
SBNY,-0.3382,-8.577,-0.3308,-8.703,-0.3033,-8.408,0,2.75,-33.82%,-33.08%,-30.33%
FRC,-1.045,-27.218,-1.0383,-27.377,-1.0206,-27.253,0,1.77,-104.5%,-103.83%,-102.06%
ZION,-0.3738,-12.062,-0.3684,-11.949,-0.3143,-11.296,0,5.41,-37.38%,-36.84%,-31.43%
WAL,-0.8535,-23.471,-0.8459,-23.883,-0.7963,-23.732,0,4.96,-85.35%,-84.59%,-79.63%
PACW,-0.6907,-18.916,-0.6835,-19.139,-0.6166,-18.993,0,6.69,-69.07%,-68.35%,-61.66%
CMA,-0.3892,-11.46,-0.3843,-11.339,-0.3331,-10.702,0,5.12,-38.92%,-38.43%,-33.31%
KEY,-0.3466,-11.141,-0.3412,-10.95,-0.2943,-10.422,0,4.69,-34.66%,-34.12%,-29.43%
RF,-0.1445,-4.741,-0.1398,-4.61,-0.0793,-3.047,0.0026,6.05,-14.45%,-13.98%,-7.93%
JPM,-0.019,-0.743,-0.0153,-0.589,0.0161,0.71,0.4787,3.14,-1.9%,-1.53%,1.61%
BAC,-0.1205,-4.353,-0.1162,-4.165,-0.0796,-3.242,0.0014,3.66,-12.05%,-11.62%,-7.96%
WFC,-0.0876,-2.973,-0.0833,-2.816,-0.0531,-1.977,0.0494,3.02,-8.76%,-8.33%,-5.31%
USB,-0.1826,-6.349,-0.1793,-6.169,-0.1456,-5.45,0,3.37,-18.26%,-17.93%,-14.56%
TFC,-0.3078,-10.765,-0.3032,-10.548,-0.2614,-9.839,0,4.18,-30.78%,-30.32%,-26.14%
FITB,-0.2444,-7.87,-0.2392,-7.723,-0.1776,-6.628,0,6.16,-24.44%,-23.92%,-17.76%
HBAN,-0.257,-8.832,-0.2526,-8.689,-0.2081,-7.883,0,4.45,-25.7%,-25.26%,-20.81%
CFG,-0.1783,-6.263,-0.1735,-6.088,-0.1243,-4.961,0,4.92,-17.83%,-17.35%,-12.43%
FHN,-0.2657,-17.244,-0.2647,-17.312,-0.2521,-16.769,0,1.26,-26.57%,-26.47%,-25.21%
COLB,-0.2252,-7.312,-0.2212,-7.228,-0.1708,-6.01,0,5.04,-22.52%,-22.12%,-17.08%
OZK,-0.1054,-3.434,-0.1004,-3.31,-0.0428,-1.559,0.1207,5.76,-10.54%,-10.04%,-4.28%
WTFC,-0.1476,-5.445,-0.1434,-5.306,-0.0897,-3.817,2e-4,5.37,-14.76%,-14.34%,-8.97%
BOKF,-0.11,-4.078,-0.1068,-3.966,-0.0578,-2.404,0.0172,4.9,-11%,-10.68%,-5.78%
UMBF,-0.2746,-9.213,-0.2711,-9.04,-0.2475,-8.442,0,2.36,-27.46%,-27.11%,-24.75%
VLY,-0.1002,-3.65,-0.0955,-3.468,-0.044,-1.789,0.0752,5.15,-10.02%,-9.55%,-4.4%
HWC,-0.1751,-5.938,-0.171,-5.772,-0.1164,-4.513,0,5.46,-17.51%,-17.1%,-11.64%
EWBC,-0.2192,-6.423,-0.2129,-6.336,-0.1533,-5.004,0,5.96,-21.92%,-21.29%,-15.33%
CBSH,-0.0515,-2.346,-0.0487,-2.202,-0.0171,-0.833,0.4061,3.16,-5.15%,-4.87%,-1.71%
FFBC,-0.0543,-2.102,-0.0512,-1.961,0.0021,0.093,0.9258,5.33,-5.43%,-5.12%,0.21%
PB,-0.108,-4.281,-0.1051,-4.15,-0.0616,-2.716,0.0072,4.35,-10.8%,-10.51%,-6.16%
TCBI,-0.1399,-3.917,-0.1355,-3.8,-0.0896,-2.641,0.0089,4.59,-13.99%,-13.55%,-8.96%
