ticker,CAR,uninsured_dep_pct,assets_bn,tier1_lev,ltd_ratio,hi
SIVB,-0.89,94.3,209,7.96,42,1
SBNY,-0.3382,89.3,110.4,8.79,83.9,1
FRC,-1.045,67.3,212.6,8.51,94.1,1
ZION,-0.3738,49.2,89.5,7.65,76.5,0
WAL,-0.8535,52.6,67.7,8.22,98.7,0
PACW,-0.6907,71.1,44.3,9.7,84.4,1
CMA,-0.3892,59.3,85.5,9.01,71.9,0
KEY,-0.3466,48.2,187.6,8.78,81.8,0
RF,-0.1445,34.8,154.2,8.8,71.7,0
JPM,-0.019,59.5,3201.9,8.3,46.1,0
BAC,-0.1205,41.7,2418.5,7.68,50.4,0
WFC,-0.0876,39.3,1717.5,8.34,63.8,0
USB,-0.1826,52.2,585.1,8.05,71.2,0
TFC,-0.3078,41.8,546,8.54,76,0
FITB,-0.2444,46.5,206.3,8.45,72.3,0
HBAN,-0.257,44.2,182.3,8.12,79.5,0
CFG,-0.1783,41.9,226.4,8.85,86.2,0
FHN,-0.2657,45.1,78.7,9.2,90.5,0
COLB,-0.2252,38.6,52.1,8.9,81,0
OZK,-0.1054,32.4,27.7,11.4,96.6,0
WTFC,-0.1476,40.1,52.9,8.95,86.3,0
BOKF,-0.11,48.2,47.8,8.6,72.1,0
UMBF,-0.2746,54,37.7,8.1,68.9,0
VLY,-0.1002,39.8,57.5,8.4,98.2,0
WBS,-0.2188,42.7,71.2,8.5,91.5,0
HWC,-0.1751,38.5,35.2,9.8,79.2,0
EWBC,-0.2192,47.2,64.1,9.15,85.8,0
CBSH,-0.0515,56.7,31.7,9.2,61.7,0
FFBC,-0.0543,32.8,16.9,9.3,80.5,0
PB,-0.108,37.6,37.9,9,56.8,0
TCBI,-0.1399,54.9,36.7,9.5,79.4,0
ONB,-0.0963,35.7,46.5,9.1,87.9,0
UBSI,-0.0452,34.4,29.4,9.1,91.4,0
GBCI,-0.063,42.7,26.6,9.6,73.8,0
INDB,-0.0978,37.8,19.3,9.2,86.8,0
WSFS,-0.153,34.6,16.1,9.3,74.1,0
BANR,-0.1147,37.9,15.8,9.4,74.5,0
FFIN,-0.0861,50.7,13.1,9.8,49.3,0
TRMK,-0.0826,37.1,16.8,9.2,73.6,0
SFNC,-0.0784,34.8,26.5,9.3,66.1,0
HAFC,-0.1255,37.6,7.3,9.5,96.7,0
CVBF,-0.1752,41.7,16,9.9,42.1,0
RNST,-0.0593,34.5,17,9.1,85.6,0
WAFD,-0.0584,35.7,21.6,9.3,106,0
CATY,-0.1052,38.1,22.6,9.7,74.3,0
EBC,-0.2073,32.7,13.4,9.2,63.2,0
GABC,-0.0962,37.5,5.8,9.4,66.8,0
IBCP,-0.1463,34.7,4.8,9.2,72.3,0
