ticker,event_id,event_name,event_date,alpha,beta,R2,sigma,CAR,CAR_pct,t_stat,p_value,sig,n_est,n_days
SIVB,1,SVB bond loss announcement,2023-03-08,-0.002528,1.732,0.37,0.03392,-0.9211,-92.11%,-13.543,0,TRUE,200,4
SBNY,1,SVB bond loss announcement,2023-03-08,-0.003416,1.779,0.579,0.0228,-0.3851,-38.51%,-7.534,0,TRUE,200,5
FRC,1,SVB bond loss announcement,2023-03-08,-7.29e-4,1.323,0.572,0.01719,-0.3449,-34.49%,-8.953,0,TRUE,200,5
ZION,1,SVB bond loss announcement,2023-03-08,-3.34e-4,1.108,0.59,0.01389,-0.1456,-14.56%,-4.679,0,TRUE,200,5
WAL,1,SVB bond loss announcement,2023-03-08,-7.5e-5,1.437,0.637,0.01628,-0.36,-36%,-9.863,0,TRUE,200,5
PACW,1,SVB bond loss announcement,2023-03-08,-7.01e-4,1.39,0.622,0.0163,-0.73740000000000006,-73.74%,-20.183,0,TRUE,200,5
CMA,1,SVB bond loss announcement,2023-03-08,-4.65e-4,1.029,0.51,0.01515,-0.1153,-11.53%,-3.397,8e-4,TRUE,200,5
KEY,1,SVB bond loss announcement,2023-03-08,1.08e-4,1.118,0.594,0.01387,-0.1054,-10.54%,-3.39,8e-4,TRUE,200,5
RF,1,SVB bond loss announcement,2023-03-08,7.38e-4,0.969,0.534,0.01361,-0.0903,-9.03%,-2.96,0.0034,TRUE,200,5
JPM,1,SVB bond loss announcement,2023-03-08,9.05e-4,0.849,0.555,0.01142,-0.0372,-3.72%,-1.454,0.1476,FALSE,200,5
BAC,1,SVB bond loss announcement,2023-03-08,-1.3e-4,0.933,0.563,0.01234,-0.0768,-7.68%,-2.776,0.006,TRUE,200,5
WFC,1,SVB bond loss announcement,2023-03-08,4.88e-4,0.916,0.522,0.01316,-0.0844,-8.44%,-2.86,0.0047,TRUE,200,5
