ticker,CAR_ff3,t_ff3,p_ff3,sig_ff3,event_id
SIVB,-0.9056,-13.971,0,TRUE,1
SBNY,-0.3344,-7.176,0,TRUE,1
FRC,-0.3247,-8.658,0,TRUE,1
ZION,-0.1039,-3.711,3e-4,TRUE,1
WAL,-0.316,-9.402,0,TRUE,1
PACW,-0.6821,-21.022,0,TRUE,1
CMA,-0.0767,-2.463,0.0146,TRUE,1
KEY,-0.0697,-2.472,0.0143,TRUE,1
RF,-0.0454,-1.739,0.0836,FALSE,1
JPM,-0.0158,-0.696,0.4871,FALSE,1
BAC,-0.051,-2.078,0.039,TRUE,1
WFC,-0.063,-2.342,0.0202,TRUE,1
USB,-0.0895,-3.351,0.001,TRUE,1
TFC,-0.098,-3.698,3e-4,TRUE,1
FITB,-0.0807,-3.003,0.003,TRUE,1
HBAN,-0.0575,-2.167,0.0314,TRUE,1
CFG,-0.0929,-3.693,3e-4,TRUE,1
FHN,-0.0466,-3.089,0.0023,TRUE,1
COLB,-0.1064,-3.712,3e-4,TRUE,1
OZK,-0.0984,-3.578,4e-4,TRUE,1
WTFC,-0.0528,-2.223,0.0274,TRUE,1
BOKF,-0.0325,-1.35,0.1785,FALSE,1
UMBF,-0.0838,-2.859,0.0047,TRUE,1
VLY,-0.041,-1.668,0.097,FALSE,1
WBS,-0.0989,-3.528,5e-4,TRUE,1
HWC,-0.062,-2.397,0.0175,TRUE,1
EWBC,-0.0794,-2.592,0.0103,TRUE,1
CBSH,-0.0275,-1.344,0.1804,FALSE,1
FFBC,-0.0399,-1.78,0.0766,FALSE,1
PB,-0.0619,-2.729,0.0069,TRUE,1
TCBI,-0.0138,-0.407,0.6844,FALSE,1
ONB,-0.0133,-0.548,0.5841,FALSE,1
UBSI,-0.0265,-1.157,0.2485,FALSE,1
GBCI,-0.0536,-2.133,0.0342,TRUE,1
INDB,-0.0414,-1.803,0.0729,FALSE,1
WSFS,-0.0612,-2.124,0.0349,TRUE,1
